"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3677","Login Test with JSON Data: Valid login @datadriven","chromium","2026-05-23","passed","2026-05-23","","LoginDataDriven.spec.ts","",""
"","2625","Login Test with CSV Data: Valid login @datadriven","chromium","2026-05-23","passed","2026-05-23","","LoginDataDriven.spec.ts","",""
"","7885","User login test @master @sanity @regression @acc","chromium","2026-05-25","passed","2026-05-25","","Login.spec.ts","",""
"","6017","Add product to cart test @master @regression","chromium","2026-05-25","passed","2026-05-25","","AddToCart.spec.ts","",""
"","9258","User registration test @master @sanity @regression @acc","chromium","2026-05-25","passed","2026-05-25","","AccountRegistration.spec.ts","",""
"","2405","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-05-23","passed","2026-05-23","","LoginDataDriven.spec.ts","",""
"","3669","User logout test @master @regression","chromium","2026-05-25","passed","2026-05-25","","Logout.spec.ts","",""
"","3413","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-05-23","passed","2026-05-23","","LoginDataDriven.spec.ts","",""
"","1494","Product search test @master @regression","chromium","2026-05-25","passed","2026-05-25","","SearchProduct.spec.ts","",""
"","14645","execute end-to-end test flow @end-to-end","chromium","2026-05-23","passed","2026-05-23","","EndToEndTest.spec.ts","",""
"","14452","User registration test @master @sanity @regression","chromium","2026-05-23","passed","2026-05-23","","AccountRegistration.spec.ts","",""
